bri,hue,sat,watt
33,65535,97,1.01
33,1,129,1.01
33,2732,129,1.04
33,5463,129,1.09
33,8194,129,1.08
33,10925,129,1.11
33,13656,129,1.04
33,16387,129,1.0
33,19118,129,0.88
33,21849,129,0.88
33,24580,129,0.88
33,27311,129,0.89
33,30042,129,0.99
33,32773,129,1.04
33,35504,129,1.03
33,38235,129,0.96
33,40966,129,0.95
33,43697,129,0.89
33,46428,129,0.93
33,49159,129,1.08
33,51890,129,1.14
33,54621,129,1.13
33,57352,129,1.11
33,60083,129,1.05
33,62814,129,1.04
33,65535,129,1.0
33,1,161,0.99
33,2732,161,0.9
33,5463,161,0.99
33,8194,161,1.15
33,10925,161,1.05
33,13656,161,1.0
33,16387,161,0.95
33,19118,161,0.98
33,21849,161,0.84
33,24580,161,0.76
33,27311,161,0.91
33,30042,161,0.93
33,32773,161,1.04
33,35504,161,0.94
33,38235,161,0.85
33,40966,161,0.83
33,43697,161,0.84
33,46428,161,0.83
33,49159,161,0.93
33,51890,161,1.09
33,54621,161,1.19
33,57352,161,1.09
33,60083,161,1.05
33,62814,161,0.97
33,65535,161,1.02
33,1,193,0.9
33,2732,193,0.89
33,5463,193,0.93
33,8194,193,1.09
33,10925,193,1.04
33,13656,193,0.99
33,16387,193,0.87
33,19118,193,0.72
33,21849,193,0.76
33,24580,193,0.71
33,27311,193,0.79
33,30042,193,0.85
33,32773,193,0.97
33,35504,193,0.87
33,38235,193,0.79
33,40966,193,0.76
33,43697,193,0.75
33,46428,193,0.78
33,49159,193,0.93
33,51890,193,1.01
33,54621,193,1.21
33,57352,193,1.14
33,60083,193,0.95
33,62814,193,0.94
33,65535,193,0.91
33,1,225,0.93
33,2732,225,0.9
33,5463,225,0.93
33,8194,225,0.95
33,10925,225,1.12
33,13656,225,0.95
33,16387,225,0.9
33,19118,225,0.65
33,21849,225,0.68
33,24580,225,0.71
33,27311,225,0.73
33,30042,225,0.79
33,32773,225,0.88
33,35504,225,0.79
33,38235,225,0.69
33,40966,225,0.77
33,43697,225,0.65
33,46428,225,0.82
33,49159,225,0.86
33,51890,225,0.95
33,54621,225,1.08
33,57352,225,1.03
33,60083,225,0.93
33,62814,225,0.91
33,65535,225,0.92
33,1,255,0.95
33,2732,255,0.84
33,5463,255,0.98
33,8194,255,0.97
33,10925,255,1.06
33,13656,255,1.0
33,16387,255,0.83
33,19118,255,0.67
33,21849,255,0.62
33,24580,255,0.62
33,27311,255,0.64
33,30042,255,0.73
33,32773,255,0.88
33,35504,255,0.77
33,38235,255,0.7
33,40966,255,0.61
33,43697,255,0.6
33,46428,255,0.68
33,49159,255,0.79
33,51890,255,0.97
33,54621,255,1.15
33,57352,255,1.11
33,60083,255,0.87
33,62814,255,0.91
33,65535,255,0.94
65,1,1,2.1
65,2732,1,2.11
65,5463,1,2.14
65,8194,1,2.17
65,10925,1,2.17
65,13656,1,2.17
65,16387,1,2.12
65,19118,1,2.17
65,21849,1,2.16
65,24580,1,2.13
65,27311,1,2.19
65,30042,1,2.11
65,32773,1,2.18
65,35504,1,2.09
65,38235,1,2.16
65,40966,1,2.09
65,43697,1,2.08
65,46428,1,2.14
65,49159,1,2.09
65,51890,1,2.13
65,54621,1,2.15
65,57352,1,2.15
65,60083,1,2.17
65,62814,1,2.08
65,65535,1,2.06
65,1,33,2.0
65,2732,33,1.99
65,5463,33,2.0
65,8194,33,2.03
65,10925,33,2.07
65,13656,33,2.09
65,16387,33,2.0
65,19118,33,1.96
65,21849,33,1.96
65,24580,33,1.94
65,27311,33,1.96
65,30042,33,1.97
65,32773,33,2.06
65,35504,33,2.05
65,38235,33,1.98
65,40966,33,1.95
65,43697,33,1.97
65,46428,33,1.89
65,49159,33,2.01
65,51890,33,1.97
65,54621,33,2.1
65,57352,33,2.06
65,60083,33,2.06
65,62814,33,2.01
65,65535,33,2.02
65,1,65,1.84
65,2732,65,1.95
65,5463,65,1.89
65,8194,65,1.94
65,10925,65,2.05
65,13656,65,1.96
65,16387,65,1.83
65,19118,65,1.78
65,21849,65,1.71
65,24580,65,1.73
65,27311,65,1.66
65,30042,65,1.85
65,32773,65,1.93
65,35504,65,1.79
65,38235,65,1.78
65,40966,65,1.73
65,43697,65,1.69
65,46428,65,1.75
65,49159,65,1.91
65,51890,65,1.98
65,54621,65,2.07
65,57352,65,2.02
65,60083,65,1.9
65,62814,65,1.87
65,65535,65,1.84
65,1,97,1.71
65,2732,97,1.74
65,5463,97,1.77
65,8194,97,1.91
65,10925,97,1.88
65,13656,97,1.8
65,16387,97,1.71
65,19118,97,1.64
65,21849,97,1.49
65,24580,97,1.6
65,27311,97,1.61
65,30042,97,1.71
65,32773,97,1.71
65,35504,97,1.7
65,38235,97,1.62
65,40966,97,1.59
65,43697,97,1.57
65,46428,97,1.58
65,49159,97,1.74
65,51890,97,1.87
65,54621,97,1.91
65,57352,97,1.87
65,60083,97,1.81
65,62814,97,1.78
65,65535,97,1.66
65,1,129,1.5
65,2732,129,1.59
65,5463,129,1.66
65,8194,129,1.78
65,10925,129,1.88
65,13656,129,1.69
65,16387,129,1.59
65,19118,129,1.5
65,21849,129,1.34
65,24580,129,1.42
65,27311,129,1.43
65,30042,129,1.49
65,32773,129,1.65
65,35504,129,1.66
65,38235,129,1.45
65,40966,129,1.43
65,43697,129,1.34
65,46428,129,1.5
65,49159,129,1.58
65,51890,129,1.77
65,54621,129,1.91
65,57352,129,1.78
65,60083,129,1.68
65,62814,129,1.7
65,65535,129,1.54
65,1,161,1.4
65,2732,161,1.46
65,5463,161,1.59
65,8194,161,1.64
65,10925,161,1.76
65,13656,161,1.74
65,16387,161,1.49
65,19118,161,1.3
65,21849,161,1.27
65,24580,161,1.28
65,27311,161,1.33
65,30042,161,1.48
65,32773,161,1.58
65,35504,161,1.54
65,38235,161,1.4
65,40966,161,1.39
65,43697,161,1.21
65,46428,161,1.42
65,49159,161,1.53
65,51890,161,1.65
65,54621,161,1.86
65,57352,161,1.68
65,60083,161,1.56
65,62814,161,1.51
65,65535,161,1.39
65,1,193,1.27
65,2732,193,1.46
65,5463,193,1.53
65,8194,193,1.55
65,10925,193,1.7
65,13656,193,1.6
65,16387,193,1.44
65,19118,193,1.27
65,21849,193,1.06
65,24580,193,1.18
65,27311,193,1.28
65,30042,193,1.28
65,32773,193,1.42
65,35504,193,1.42
65,38235,193,1.25
65,40966,193,1.14
65,43697,193,1.09
65,46428,193,1.26
65,49159,193,1.37
65,51890,193,1.55
65,54621,193,1.81
65,57352,193,1.67
65,60083,193,1.5
65,62814,193,1.36
65,65535,193,1.34
65,1,225,1.27
65,2732,225,1.23
65,5463,225,1.45
65,8194,225,1.58
65,10925,225,1.84
65,13656,225,1.45
65,16387,225,1.21
65,19118,225,1.05
65,21849,225,0.99
65,24580,225,1.01
65,27311,225,1.05
65,30042,225,1.17
65,32773,225,1.4
65,35504,225,1.19
65,38235,225,1.14
65,40966,225,1.0
65,43697,225,0.97
65,46428,225,1.12
65,49159,225,1.32
65,51890,225,1.48
65,54621,225,1.72
65,57352,225,1.56
65,60083,225,1.48
65,62814,225,1.31
65,65535,225,1.26
65,1,255,1.21
65,2732,255,1.24
65,5463,255,1.45
65,8194,255,1.47
65,10925,255,1.56
65,13656,255,1.39
65,16387,255,1.2
65,19118,255,0.99
65,21849,255,0.86
65,24580,255,0.86
65,27311,255,1.03
65,30042,255,1.24
65,32773,255,1.35
65,35504,255,1.21
65,38235,255,1.09
65,40966,255,0.92
65,43697,255,0.92
65,46428,255,1.03
65,49159,255,1.27
65,51890,255,1.48
65,54621,255,1.68
65,57352,255,1.51
65,60083,255,1.4
65,62814,255,1.35
65,65535,255,1.26
97,1,1,2.84
97,2732,1,2.95
97,5463,1,2.87
97,8194,1,2.86
97,10925,1,2.86
97,13656,1,2.94
97,16387,1,2.95
97,19118,1,2.89
97,21849,1,2.97
97,24580,1,2.92
97,27311,1,2.96
97,30042,1,2.87
97,32773,1,2.93
97,35504,1,2.94
97,38235,1,2.98
97,40966,1,2.9
97,43697,1,2.85
97,46428,1,2.88
97,49159,1,2.93
97,51890,1,2.91
97,54621,1,2.95
97,57352,1,2.88
97,60083,1,2.88
97,62814,1,2.86
97,65535,1,2.94
97,1,33,2.61
97,2732,33,2.74
97,5463,33,2.66
97,8194,33,2.7
97,10925,33,2.75
97,13656,33,2.77
97,16387,33,2.65
97,19118,33,2.64
97,21849,33,2.54
97,24580,33,2.59
97,27311,33,2.65
97,30042,33,2.67
97,32773,33,2.67
97,35504,33,2.77
97,38235,33,2.68
97,40966,33,2.66
97,43697,33,2.63
97,46428,33,2.66
97,49159,33,2.71
97,51890,33,2.71
97,54621,33,2.78
97,57352,33,2.75
97,60083,33,2.71
97,62814,33,2.62
97,65535,33,2.62
97,1,65,2.4
97,2732,65,2.5
97,5463,65,2.45
97,8194,65,2.53
97,10925,65,2.61
97,13656,65,2.52
97,16387,65,2.42
97,19118,65,2.33
97,21849,65,2.3
97,24580,65,2.3
97,27311,65,2.39
97,30042,65,2.46
97,32773,65,2.63
97,35504,65,2.5
97,38235,65,2.44
97,40966,65,2.43
97,43697,65,2.32
97,46428,65,2.36
97,49159,65,2.46
97,51890,65,2.67
97,54621,65,2.7
97,57352,65,2.66
97,60083,65,2.58
97,62814,65,2.45
97,65535,65,2.43
97,1,97,2.19
97,2732,97,2.3
97,5463,97,2.37
97,8194,97,2.38
97,10925,97,2.5
97,13656,97,2.44
97,16387,97,2.24
97,19118,97,2.13
97,21849,97,2.03
97,24580,97,2.06
97,27311,97,2.13
97,30042,97,2.27
97,32773,97,2.4
97,35504,97,2.27
97,38235,97,2.21
97,40966,97,2.18
97,43697,97,2.04
97,46428,97,2.19
97,49159,97,2.25
97,51890,97,2.43
97,54621,97,2.62
97,57352,97,2.54
97,60083,97,2.4
97,62814,97,2.29
97,65535,97,2.31
97,1,129,2.01
97,2732,129,2.05
97,5463,129,2.18
97,8194,129,2.22
97,10925,129,2.49
97,13656,129,2.27
97,16387,129,2.08
97,19118,129,1.87
97,21849,129,1.76
97,24580,129,1.88
97,27311,129,1.93
97,30042,129,1.99
97,32773,129,2.3
97,35504,129,2.19
97,38235,129,2.03
97,40966,129,1.9
97,43697,129,1.85
97,46428,129,1.96
97,49159,129,2.12
97,51890,129,2.29
97,54621,129,2.52
97,57352,129,2.41
97,60083,129,2.25
97,62814,129,2.1
97,65535,129,2.02
97,1,161,1.8
97,2732,161,1.94
97,5463,161,2.07
97,8194,161,2.26
97,10925,161,2.45
97,13656,161,2.16
97,16387,161,1.91
97,19118,161,1.75
97,21849,161,1.59
97,24580,161,1.7
97,27311,161,1.79
97,30042,161,1.96
97,32773,161,2.17
97,35504,161,2.01
97,38235,161,1.88
97,40966,161,1.74
97,43697,161,1.6
97,46428,161,1.77
97,49159,161,1.97
97,51890,161,2.21
97,54621,161,2.39
97,57352,161,2.28
97,60083,161,2.05
97,62814,161,2.01
97,65535,161,1.83
97,1,193,1.75
97,2732,193,1.8
97,5463,193,1.98
97,8194,193,2.1
97,10925,193,2.38
97,13656,193,2.03
97,16387,193,1.78
97,19118,193,1.57
97,21849,193,1.38
97,24580,193,1.46
97,27311,193,1.65
97,30042,193,1.78
97,32773,193,2.04
97,35504,193,1.89
97,38235,193,1.7
97,40966,193,1.62
97,43697,193,1.47
97,46428,193,1.69
97,49159,193,1.85
97,51890,193,2.12
97,54621,193,2.34
97,57352,193,2.15
97,60083,193,1.97
97,62814,193,1.79
97,65535,193,1.74
97,1,225,1.62
97,2732,225,1.75
97,5463,225,1.82
97,8194,225,2.11
97,10925,225,2.29
97,13656,225,1.88
97,16387,225,1.73
97,19118,225,1.49
97,21849,225,1.27
97,24580,225,1.35
97,27311,225,1.47
97,30042,225,1.62
97,32773,225,1.99
97,35504,225,1.72
97,38235,225,1.56
97,40966,225,1.44
97,43697,225,1.3
97,46428,225,1.55
97,49159,225,1.73
97,51890,225,1.99
97,54621,225,2.24
97,57352,225,2.02
97,60083,225,1.79
97,62814,225,1.8
97,65535,225,1.64
97,1,255,1.61
97,2732,255,1.69
97,5463,255,1.92
97,8194,255,2.08
97,10925,255,2.53
97,13656,255,2.06
97,16387,255,1.66
97,19118,255,1.45
97,21849,255,1.14
97,24580,255,1.2
97,27311,255,1.42
97,30042,255,1.61
97,32773,255,1.96
97,35504,255,1.65
97,38235,255,1.5
97,40966,255,1.35
97,43697,255,1.24
97,46428,255,1.38
97,49159,255,1.57
97,51890,255,2.06
97,54621,255,2.3
97,57352,255,2.02
97,60083,255,1.87
97,62814,255,1.71
97,65535,255,1.58
129,1,1,4.09
129,2732,1,4.19
129,5463,1,4.11
129,8194,1,4.12
129,10925,1,4.23
129,13656,1,4.18
129,16387,1,4.21
129,19118,1,4.1
129,21849,1,4.14
129,24580,1,4.21
129,27311,1,4.18
129,30042,1,4.13
129,32773,1,4.13
129,35504,1,4.14
129,38235,1,4.14
129,40966,1,4.1
129,43697,1,4.03
129,46428,1,4.09
129,49159,1,4.09
129,51890,1,4.08
129,54621,1,4.22
129,57352,1,4.23
129,60083,1,4.12
129,62814,1,4.12
129,65535,1,4.14
129,1,33,3.72
129,2732,33,3.8
129,5463,33,3.81
129,8194,33,3.93
129,10925,33,3.98
129,13656,33,3.85
129,16387,33,3.84
129,19118,33,3.8
129,21849,33,3.69
129,24580,33,3.76
129,27311,33,3.81
129,30042,33,3.92
129,32773,33,3.95
129,35504,33,3.93
129,38235,33,3.87
129,40966,33,3.84
129,43697,33,3.79
129,46428,33,3.83
129,49159,33,3.85
129,51890,33,3.86
129,54621,33,3.99
129,57352,33,3.86
129,60083,33,3.85
129,62814,33,3.72
129,65535,33,3.75
129,1,65,3.3
129,2732,65,3.44
129,5463,65,3.42
129,8194,65,3.62
129,10925,65,3.61
129,13656,65,3.57
129,16387,65,3.5
129,19118,65,3.38
129,21849,65,3.3
129,24580,65,3.37
129,27311,65,3.44
129,30042,65,3.67
129,32773,65,3.78
129,35504,65,3.64
129,38235,65,3.5
129,40966,65,3.48
129,43697,65,3.38
129,46428,65,3.59
129,49159,65,3.49
129,51890,65,3.6
129,54621,65,3.82
129,57352,65,3.64
129,60083,65,3.52
129,62814,65,3.4
129,65535,65,3.39
129,1,97,2.91
129,2732,97,2.98
129,5463,97,3.25
129,8194,97,3.33
129,10925,97,3.52
129,13656,97,3.39
129,16387,97,3.29
129,19118,97,3.06
129,21849,97,2.88
129,24580,97,3.02
129,27311,97,3.13
129,30042,97,3.31
129,32773,97,3.5
129,35504,97,3.33
129,38235,97,3.25
129,40966,97,3.14
129,43697,97,3.04
129,46428,97,3.22
129,49159,97,3.37
129,51890,97,3.49
129,54621,97,3.62
129,57352,97,3.51
129,60083,97,3.2
129,62814,97,3.04
129,65535,97,2.98
129,1,129,2.61
129,2732,129,2.78
129,5463,129,2.94
129,8194,129,3.22
129,10925,129,3.36
129,13656,129,3.13
129,16387,129,3.01
129,19118,129,2.75
129,21849,129,2.53
129,24580,129,2.75
129,27311,129,2.85
129,30042,129,3.04
129,32773,129,3.29
129,35504,129,3.07
129,38235,129,2.87
129,40966,129,2.82
129,43697,129,2.68
129,46428,129,2.89
129,49159,129,3.07
129,51890,129,3.32
129,54621,129,3.64
129,57352,129,3.31
129,60083,129,2.99
129,62814,129,2.8
129,65535,129,2.73
129,1,161,2.45
129,2732,161,2.51
129,5463,161,2.67
129,8194,161,3.05
129,10925,161,3.32
129,13656,161,3.08
129,16387,161,2.72
129,19118,161,2.45
129,21849,161,2.21
129,24580,161,2.38
129,27311,161,2.58
129,30042,161,2.83
129,32773,161,3.02
129,35504,161,2.91
129,38235,161,2.63
129,40966,161,2.48
129,43697,161,2.25
129,46428,161,2.57
129,49159,161,2.82
129,51890,161,3.13
129,54621,161,3.39
129,57352,161,3.13
129,60083,161,2.79
129,62814,161,2.5
129,65535,161,2.43
129,1,193,2.16
129,2732,193,2.36
129,5463,193,2.46
129,8194,193,2.87
129,10925,193,3.2
129,13656,193,2.86
129,16387,193,2.6
129,19118,193,2.26
129,21849,193,1.86
129,24580,193,2.13
129,27311,193,2.23
129,30042,193,2.5
129,32773,193,2.89
129,35504,193,2.58
129,38235,193,2.36
129,40966,193,2.2
129,43697,193,2.01
129,46428,193,2.28
129,49159,193,2.63
129,51890,193,3.0
129,54621,193,3.3
129,57352,193,2.98
129,60083,193,2.6
129,62814,193,2.38
129,65535,193,2.28
129,1,225,2.04
129,2732,225,2.16
129,5463,225,2.48
129,8194,225,2.72
129,10925,225,3.15
129,13656,225,2.75
129,16387,225,2.34
129,19118,225,2.04
129,21849,225,1.64
129,24580,225,1.87
129,27311,225,2.02
129,30042,225,2.33
129,32773,225,2.63
129,35504,225,2.35
129,38235,225,2.18
129,40966,225,1.94
129,43697,225,1.77
129,46428,225,2.07
129,49159,225,2.44
129,51890,225,2.8
129,54621,225,3.26
129,57352,225,2.8
129,60083,225,2.44
129,62814,225,2.25
129,65535,225,2.12
129,1,255,2.01
129,2732,255,2.15
129,5463,255,2.38
129,8194,255,2.7
129,10925,255,3.07
129,13656,255,2.49
129,16387,255,2.16
129,19118,255,1.87
129,21849,255,1.54
129,24580,255,1.71
129,27311,255,2.01
129,30042,255,2.29
129,32773,255,2.77
129,35504,255,2.31
129,38235,255,2.0
129,40966,255,1.72
129,43697,255,1.52
129,46428,255,1.91
129,49159,255,2.34
129,51890,255,2.78
129,54621,255,3.22
129,57352,255,2.79
129,60083,255,2.43
129,62814,255,2.13
129,65535,255,2.06
161,1,1,5.23
161,2732,1,5.2
161,5463,1,5.26
161,8194,1,5.31
161,10925,1,5.34
161,13656,1,5.24
161,16387,1,5.34
161,19118,1,5.33
161,21849,1,5.26
161,24580,1,5.3
161,27311,1,5.25
161,30042,1,5.37
161,32773,1,5.35
161,35504,1,5.31
161,38235,1,5.28
161,40966,1,5.29
161,43697,1,5.29
161,46428,1,5.34
161,49159,1,5.27
161,51890,1,5.28
161,54621,1,5.23
161,57352,1,5.33
161,60083,1,5.25
161,62814,1,5.3
161,65535,1,5.32
161,1,33,4.65
161,2732,33,4.74
161,5463,33,4.78
161,8194,33,4.94
161,10925,33,4.95
161,13656,33,4.84
161,16387,33,4.87
161,19118,33,4.82
161,21849,33,4.68
161,24580,33,4.79
161,27311,33,4.92
161,30042,33,4.92
161,32773,33,5.05
161,35504,33,5.02
161,38235,33,4.98
161,40966,33,4.87
161,43697,33,4.83
161,46428,33,4.85
161,49159,33,4.9
161,51890,33,5.01
161,54621,33,5.16
161,57352,33,5.05
161,60083,33,4.87
161,62814,33,4.8
161,65535,33,4.72
161,1,65,4.1
161,2732,65,4.21
161,5463,65,4.34
161,8194,65,4.5
161,10925,65,4.64
161,13656,65,4.6
161,16387,65,4.41
161,19118,65,4.38
161,21849,65,4.22
161,24580,65,4.34
161,27311,65,4.5
161,30042,65,4.7
161,32773,65,4.83
161,35504,65,4.74
161,38235,65,4.58
161,40966,65,4.5
161,43697,65,4.29
161,46428,65,4.44
161,49159,65,4.56
161,51890,65,4.7
161,54621,65,4.8
161,57352,65,4.64
161,60083,65,4.45
161,62814,65,4.31
161,65535,65,4.11
161,1,97,3.62
161,2732,97,3.72
161,5463,97,3.99
161,8194,97,4.18
161,10925,97,4.49
161,13656,97,4.32
161,16387,97,4.19
161,19118,97,3.97
161,21849,97,3.76
161,24580,97,3.88
161,27311,97,4.08
161,30042,97,4.36
161,32773,97,4.55
161,35504,97,4.39
161,38235,97,4.21
161,40966,97,4.04
161,43697,97,3.87
161,46428,97,4.02
161,49159,97,4.2
161,51890,97,4.4
161,54621,97,4.61
161,57352,97,4.39
161,60083,97,4.04
161,62814,97,3.86
161,65535,97,3.59
161,1,129,3.25
161,2732,129,3.39
161,5463,129,3.59
161,8194,129,3.94
161,10925,129,4.33
161,13656,129,4.04
161,16387,129,3.89
161,19118,129,3.59
161,21849,129,3.31
161,24580,129,3.56
161,27311,129,3.7
161,30042,129,4.0
161,32773,129,4.3
161,35504,129,4.05
161,38235,129,3.81
161,40966,129,3.66
161,43697,129,3.46
161,46428,129,3.64
161,49159,129,3.95
161,51890,129,4.19
161,54621,129,4.44
161,57352,129,4.05
161,60083,129,3.8
161,62814,129,3.54
161,65535,129,3.24
161,1,161,2.95
161,2732,161,3.16
161,5463,161,3.36
161,8194,161,3.76
161,10925,161,4.16
161,13656,161,3.92
161,16387,161,3.59
161,19118,161,3.19
161,21849,161,2.91
161,24580,161,3.06
161,27311,161,3.31
161,30042,161,3.68
161,32773,161,4.05
161,35504,161,3.71
161,38235,161,3.42
161,40966,161,3.18
161,43697,161,2.98
161,46428,161,3.32
161,49159,161,3.68
161,51890,161,4.06
161,54621,161,4.3
161,57352,161,3.91
161,60083,161,3.45
161,62814,161,3.11
161,65535,161,2.92
